Long,Lat,FID,EVENTSTA,eventend,SIMULATI,SIMULAT1,UNIQUEAS,assetid,NETWORKM,ASSETNAM,TREATMEN,ESTIMATE,OSISERVI,STRUCTUR,INTERIOR,SERVICES,OSI,SUBSTRUC,SUPESTRU,ROOFCOND,FITTINGS,FLOORCON,HYDRAULI,MECHANIC,FIRECOND,ELECTRIC,SECURITY,SITESERV,EXTERNAL
116.001402392765,-31.994565641318,"94","1577836800000","1609372800000","0","2020",BD_5026-01,BD_5026-01,"90214",BD_5026-01 - Forrestfield Tennis Club - Toilets, ,0,0,2,3,2,2,3,2,2,3,2,2,3,2,2,2,3,4
116.081751229148,-32.0040839882625,"95","1577836800000","1609372800000","0","2020",BD_5106-02,BD_5106-02,"181865",BD_5106-02 - Waste Transfer Station - Transfer Structure, ,0,0,1,2,2,2,2,1,1,2,2,3,2,1,1,2,1,2
116.059187853708,-31.9694006934164,"96","1577836800000","1609372800000","0","2020",BD_5037-14,BD_5037-14,"27967",BD_5037-14 - History Village - Workshop, ,0,0,2,3,2,2,2,1,3,3,2,3,1,1,2,2,3,3
116.056474059783,-31.9688013440074,"97","1577836800000","1609372800000","0","2020",BD_5032-00,BD_5032-00,"246095",BD_5032-00 - Headingly Road House - Headingly Road House, ,0,0,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5
116.075636124559,-32.000876249882,"98","1577836800000","1609372800000","0","2020",BD_5103-01,BD_5103-01,"73310",BD_5103-01 - Walliston Hall - Toilets, ,0,0,4,5,4,4,4,4,5,5,4,4,5,4,3,4,3,3
116.025784487703,-31.9482677914779,"99","1577836800000","1609372800000","0","2020",BD_5075-00,BD_5075-00,"2034546",BD_5075-00 - Norm Sadler Pavilion - (Norm Sadler Pavilion), ,0,0,3,2,3,3,4,2,3,2,2,3,3,3,4,3,2,3
116.045070057462,-32.0029331324949,"100","1577836800000","1609372800000","0","2020",BD_5084-00,BD_5084-00,"32698",BD_5084-00 - Ray Owen Oval Public (WC) - (Public Toilet), ,0,0,4,4,4,4,4,5,4,5,3,3,4,4,4,3,3,5
116.005200423322,-31.9411919426756,"101","1577836800000","1609372800000","0","2020",BD_5014-00,BD_5014-00,"1136757",BD_5014-00 - Cyril Road Hall - Cyril Road Hall, ,0,0,4,4,4,4,4,4,5,3,5,3,5,3,3,4,3,5
116.058415233255,-31.9721487743297,"102","1577836800000","1609372800000","0","2020",BD_5012-00,BD_5012-00,"1882884",BD_5012-00 - Central Hall (KADS) - Central Hall (KADS), ,0,0,5,6,5,5,6,4,4,6,6,5,4,4,5,5,4,5
116.045683692054,-32.009219992021,"103","1577836800000","1609372800000","0","2020",BD_5062-00,BD_5062-00,"753788",BD_5062-00 - Sanderson Road Centre - prev. Lesmurdie Preschool - (Sanderson Road Centre), ,0,0,4,4,3,4,4,4,4,4,4,4,3,4,2,3,3,3
116.004501885579,-31.9461687123875,"104","1577836800000","1609372800000","0","2020",BD_5092-00,BD_5092-00,"2371755",BD_5092-00 - Scott Reserve Pavilion - (Pavilion and Changerooms), ,0,0,3,2,2,2,3,2,3,1,2,3,1,1,3,2,1,2
116.061411206771,-31.9777687121022,"105","1577836800000","1609372800000","0","2020",BD_5001-03,BD_5001-03,"21900",BD_5001-03 - Administration Buildings - Store (Old Garage), ,0,0,3,4,4,3,3,3,3,4,3,5,5,3,3,3,4,5
116.003692763154,-31.9984132026249,"106","1577836800000","1609372800000","0","2020",BD_5030-02,BD_5030-02,"271550",BD_5030-02 - Hartfield Country Club - Greenkeepers Office & Storage shed, ,0,0,4,3,3,3,4,4,4,4,2,4,2,3,2,2,3,3
116.065200832604,-31.9721774419577,"107","1577836800000","1609372800000","0","2020",BD_5045-00,BD_5045-00,"110820",BD_5045-00 - Jorgensen Park Cottage - Hedley Jorgensen Cottage, ,0,0,5,4,4,4,5,4,5,4,3,4,3,3,5,5,5,5
116.050675857244,-31.9922444485099,"108","1577836800000","1609372800000","0","2020",BD_5063-00,BD_5063-00,"653778",BD_5063-00 - Lesmurdie Scout Group - (Lesmurdie Scout Hall), ,0,0,3,3,3,3,4,2,4,2,4,4,3,2,4,4,3,2
116.023150232787,-31.9473222202531,"109","1577836800000","1609372800000","0","2020",BD_5066-00,BD_5066-00,"847139",BD_5066-00 - Maida Vale Netball Club - 5066(Maida Vale Netball Clubrooms & Changerooms), ,0,0,3,3,3,3,3,3,2,2,4,2,3,3,4,3,3,3
116.004069527245,-31.9402443390388,"110","1577836800000","1609372800000","0","2020",BD_5035-00,BD_5035-00,"1166955",BD_5035-00 - High Wycombe Library - High Wycombe Library, ,0,0,3,3,4,3,3,4,3,4,2,3,4,4,3,3,2,3
116.026962801778,-31.9489326134965,"111","1577836800000","1609372800000","0","2020",BD_5071-00,BD_5071-00,"694094",BD_5071-00 - Maida Vale Tennis Club - (Maida Vale Tennis Club), ,0,0,3,3,3,3,3,3,3,3,2,2,4,3,4,2,3,3
116.054934926676,-31.9757324114167,"112","1577836800000","1609372800000","0","2020",BD_5051-00,BD_5051-00,"250229",BD_5051-00 - Kalamunda Lapidary Club - Kostera Oval - Kalamunda Lapidary Club, ,0,0,4,4,4,4,5,3,5,3,4,3,4,5,3,5,5,3
